                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.3153,                 1.1891,                 1.4781,                 1.3435,                 1.4012,                 1.4412,                0.70948,                0.67328,                0.74058,                0.48114,                 1.1482,                 1.0541,                 1.3524,                 1.1924,                 1.2608,                 1.3237,              0.0013781,              0.0013781,              0.0013781
                     75,                 1.2598,                 1.1338,                 1.4166,                 1.3185,                 1.3502,                 1.4017,                0.71924,                0.64442,                0.73787,                0.50781,                 1.1606,                 1.0535,                 1.3349,                 1.1642,                 1.2363,                 1.2849,              0.0013774,              0.0013774,              0.0013774
                     76,                 1.2962,                 1.1458,                 1.4539,                  1.311,                 1.3683,                 1.4263,                0.65298,                0.64195,                0.71504,                0.48714,                 1.2102,                   1.03,                 1.3721,                 1.2115,                 1.1739,                 1.3215,              0.0013767,              0.0013767,              0.0013767
                     77,                 1.2205,                 1.0947,                 1.3903,                 1.2435,                 1.3013,                 1.3559,                0.69346,                0.68656,                0.74143,                0.51315,                  1.108,                0.97276,                 1.3371,                 1.1618,                 1.2069,                 1.2805,              0.0013759,              0.0013759,              0.0013759
                     78,                 1.1838,                 1.0524,                 1.3761,                 1.2369,                 1.2896,                 1.3587,                 0.7487,                0.64573,                0.75538,                0.53081,                 1.0612,                0.96089,                 1.2766,                 1.0765,                 1.2076,                 1.2404,              0.0013752,              0.0013752,              0.0013752
                     79,                 1.1808,                 1.1084,                 1.3766,                 1.2349,                 1.3341,                 1.3585,                0.64593,                0.70732,                0.76447,                0.54488,                 1.0486,                 1.0219,                 1.2755,                 1.0838,                 1.2124,                 1.2509,              0.0013745,              0.0013745,              0.0013745
                     80,                 1.1902,                 1.0799,                 1.3753,                  1.244,                 1.2869,                  1.361,                0.73824,                0.65106,                0.75106,                0.52916,                 1.0289,                0.96607,                 1.2387,                 1.0641,                 1.1314,                 1.2475,              0.0013738,              0.0013738,              0.0013738
                     81,                 1.1969,                 1.0927,                 1.3816,                 1.2516,                 1.3066,                 1.3634,                0.75109,                0.67933,                0.74614,                0.53307,                 1.1179,                 1.0142,                 1.3179,                 1.1335,                 1.1417,                 1.2939,              0.0013731,              0.0013731,              0.0013731
                     82,                 1.1912,                 1.0854,                 1.3829,                 1.2272,                 1.2998,                 1.3608,                0.68509,                0.69322,                0.73605,                0.53163,                  1.063,                 1.1019,                 1.2858,                 1.0984,                 1.2066,                  1.268,              0.0013724,              0.0013724,              0.0013724
                     83,                 1.2118,                 1.0526,                 1.3762,                 1.2454,                 1.2562,                 1.3586,                0.68586,                 0.6949,                 0.7112,                0.49522,                 1.1842,                 1.1181,                  1.342,                 1.1962,                 1.2417,                 1.3166,              0.0013717,              0.0013717,              0.0013717
                     84,                 1.2023,                 1.0957,                 1.3894,                 1.2639,                 1.2815,                 1.3846,                0.77021,                0.67857,                0.75315,                0.53157,                 1.1135,                 1.0246,                 1.3068,                 1.1543,                 1.1634,                 1.2887,               0.001371,               0.001371,               0.001371
                     85,                 1.1867,                 1.0314,                 1.3563,                 1.2385,                 1.2218,                 1.3482,                 0.8114,                0.58495,                0.74226,                0.53965,                 1.0548,                 1.0331,                 1.2597,                 1.1397,                 1.1436,                 1.2569,              0.0013703,              0.0013703,              0.0013703
                     86,                 1.1608,                 1.0491,                 1.3292,                 1.2235,                 1.2426,                 1.3171,                0.66968,                0.65795,                0.72203,                0.51518,                 1.0663,                0.97424,                 1.2935,                  1.066,                 1.2487,                 1.2581,              0.0013696,              0.0013696,              0.0013696
                     87,                 1.1807,                 1.0069,                 1.3547,                 1.2171,                 1.1992,                 1.3355,                0.75249,                0.70039,                0.78512,                0.55962,                 1.0695,                0.93354,                 1.2726,                 1.1209,                 1.0597,                 1.2731,              0.0013689,              0.0013689,              0.0013689
                     88,                 1.1601,                 1.0278,                  1.353,                 1.1995,                 1.2299,                 1.3356,                0.67586,                 0.7541,                0.75908,                0.54635,                 1.0534,                0.94861,                 1.2482,                  1.077,                 1.1172,                 1.2504,              0.0013682,              0.0013682,              0.0013682
                     89,                 1.1374,                 1.0019,                 1.3228,                 1.1796,                 1.1945,                 1.3081,                0.73829,                0.78233,                0.81989,                0.57899,                  1.064,                0.91002,                 1.2627,                 1.1241,                0.99513,                 1.2488,              0.0013675,              0.0013675,              0.0013675
                     90,                 1.1705,                 1.0012,                 1.3302,                 1.2052,                 1.1758,                 1.2999,                0.79387,                0.68222,                0.79384,                0.56469,                 1.0566,                0.92984,                 1.2503,                 1.0741,                 1.1079,                  1.256,              0.0013668,              0.0013668,              0.0013668
                     91,                 1.1176,                 1.0119,                 1.3217,                 1.1548,                 1.1667,                 1.2927,                0.81999,                0.71059,                0.83603,                0.59565,                 1.0498,                  0.893,                 1.2585,                 1.0931,                 1.0462,                 1.2324,               0.001366,               0.001366,               0.001366
                     92,                 1.1249,                0.97236,                 1.3083,                 1.1758,                  1.129,                 1.2979,                0.78183,                0.68741,                0.78097,                0.56739,                 1.0112,                0.94513,                 1.2412,                 1.0762,                 1.0977,                 1.2292,              0.0013653,              0.0013653,              0.0013653
                     93,                 1.1172,                0.97492,                 1.3251,                 1.1644,                 1.1464,                 1.3156,                0.73739,                0.76089,                0.79983,                0.57316,                 1.0227,                0.86631,                 1.2424,                 1.1231,                0.94391,                 1.2275,              0.0013646,              0.0013646,              0.0013646
